country_code,country_name,year,barley_area_ha,barley_prod_t,barley_yield_kg_per_ha,butter_of_cow_milk_prod_t,cattle_stocks_an,cereals_n_e_c_area_ha,cereals_n_e_c_prod_t,cereals_n_e_c_yield_kg_per_ha,cheese_from_milk_of_goats_prod_t,cheese_from_milk_of_sheep_prod_t,cheese_from_skimmed_cow_milk_prod_t,cheese_from_whole_cow_milk_prod_t,chickens_stocks_1000_an,cream_fresh_prod_t,goats_stocks_an,hen_eggs_in_shell_fresh_laying_1000_an,hen_eggs_in_shell_fresh_prod_1000_no,hen_eggs_in_shell_fresh_prod_t,hen_eggs_in_shell_fresh_weight_g_per_an,hen_eggs_in_shell_fresh_yield_no_per_an,meat_of_cattle_animals_an,meat_of_cattle_prod_t,meat_of_cattle_weight_kg_per_an,meat_of_chickens_animals_1000_an,meat_of_chickens_prod_t,meat_of_chickens_weight_g_per_an,meat_of_goat_animals_an,meat_of_goat_prod_t,meat_of_goat_weight_kg_per_an,meat_of_pig_animals_an,meat_of_pig_prod_t,meat_of_pig_weight_kg_per_an,meat_of_sheep_animals_an,meat_of_sheep_prod_t,meat_of_sheep_weight_kg_per_an,oats_area_ha,oats_prod_t,oats_yield_kg_per_ha,potatoes_area_ha,potatoes_prod_t,potatoes_yield_kg_per_ha,pulses_total_area_ha,pulses_total_prod_t,pulses_total_yield_kg_per_ha,sheep_stocks_an,skim_milk_and_whey_powder_prod_t,skim_milk_condensed_prod_t,swine_per_pigs_stocks_an,vegetables_primary_area_ha,vegetables_primary_prod_t,vegetables_primary_yield_kg_per_ha,wheat_area_ha,wheat_prod_t,wheat_yield_kg_per_ha,whey_condensed_prod_t,whey_dry_prod_t,whole_milk_condensed_prod_t,whole_milk_powder_prod_t
32,Argentina,2000,247830.0,722490.0,2915.3,52700.0,48674400.0,20000.0,13000.0,650.0,,,,468000.0,109000.0,3600.0,3490200.0,21000.0,5838120.0,326935.0,15568.0,278.0,12400000.0,2718000.0,219.0,418100.0,957790.0,2291.0,1364000.0,9002.0,7.0,2742457.0,213965.0,78.0,4590790.0,50000.0,11.0,337460.0,554708.0,1643.8,80000.0,2220529.0,27756.6,295100.0,334577.0,1133.8,13561600.0,45000.0,,1750000.0,168152.0,2847168.58,16932.1,6408045.0,15959352.0,2490.5,,2570.4,281.25,202000.0
32,Argentina,2001,246490.0,530045.0,2150.4,53400.0,48851400.0,20000.0,13000.0,650.0,,,,420000.0,110000.0,3600.0,3386600.0,31413.0,5391360.0,301916.0,9611.0,172.0,11584200.0,2461000.0,212.0,422500.0,950652.0,2250.0,1365000.0,9008.27,7.0,2615338.0,197504.0,76.0,4610600.0,82093.1,18.0,335534.0,644150.0,1919.8,88000.0,2497156.0,28376.8,278030.0,300705.0,1081.6,13500000.0,44000.0,,1700000.0,163904.0,2854231.0,17414.0,6840720.0,15291660.0,2235.4,,2639.12,135.0,185000.0
32,Argentina,2002,250760.0,549830.0,2192.7,54600.0,52000000.0,22000.0,15000.0,681.8,,,,370000.0,86000.0,3600.0,4000000.0,26467.0,4556900.0,255200.0,9642.0,172.0,11499447.0,2493000.0,217.0,320000.0,699440.0,2186.0,1400000.0,9239.29,7.0,2234811.0,165292.0,74.0,4648736.0,50300.0,11.0,362545.0,664760.0,1833.6,90000.0,2262120.0,25134.7,279740.0,319030.0,1140.5,12400000.0,32000.0,,1600000.0,168147.0,2900791.13,17251.5,6050210.0,12301442.0,2033.2,,5393.68,135.0,205000.0
32,Argentina,2003,334348.0,1005460.0,3007.2,55300.0,55875764.0,22000.0,15000.0,681.8,,,,350000.0,93000.0,3600.0,4200000.0,27989.0,5410440.0,303000.0,10826.0,193.0,12506196.0,2658000.0,213.0,335000.0,738212.0,2204.0,1450000.0,9569.31,7.0,2001795.0,149755.0,75.0,4780412.0,51700.0,11.0,292315.0,487510.0,1667.8,75000.0,2094520.0,27926.9,209990.0,258530.0,1231.2,13829000.0,31000.0,,1500000.0,171193.0,2942954.6,17190.9,5735292.0,14562955.0,2539.2,,5102.13,135.0,198000.0
32,Argentina,2004,275307.0,894610.0,3249.5,55000.0,56844020.0,22000.0,15000.0,681.8,,,,360000.0,95000.0,3600.0,4200000.0,28441.0,6468000.0,355740.0,12508.0,227.0,14295801.0,3024000.0,212.0,338339.0,866000.0,2560.0,1450000.0,9569.37,7.0,2148509.0,185300.0,86.0,4063938.0,44700.0,11.0,220785.0,331994.0,1503.7,70000.0,2021020.0,28871.7,150162.0,198308.0,1320.6,15158000.0,35000.0,,1490000.0,170520.0,3017451.48,17695.5,6061930.0,15925025.0,2627.1,,10710.0,135.0,220000.0
32,Argentina,2005,267450.0,799423.0,2989.1,51000.0,57033528.0,22000.0,15000.0,681.8,,,,360000.0,95000.0,3600.0,4200000.0,26500.0,7200000.0,388800.0,14672.0,272.0,14251709.0,3130800.0,220.0,394384.0,1010000.0,2561.0,1450000.0,9570.0,7.0,2470124.0,215496.0,87.0,4873042.0,51700.0,11.0,291307.0,536091.0,1840.3,63000.0,1788677.0,28391.7,179397.0,224387.0,1250.8,15497000.0,40000.0,,1830000.0,167772.0,3075924.62,18333.9,4975920.0,12593396.0,2530.9,,10710.0,125.0,260000.0
32,Argentina,2006,337592.0,1268465.0,3757.4,53000.0,58293608.0,22200.0,15200.0,684.7,,,,360000.0,95000.0,3600.0,4200000.0,32000.0,7752000.0,418608.0,13082.0,242.0,13418824.0,3033600.0,226.0,450429.0,1159000.0,2573.0,1450000.0,9569.36,7.0,3057976.0,262173.0,86.0,4474185.0,49500.0,11.0,148225.0,226910.0,1530.8,68000.0,1943632.0,28582.8,288940.0,399760.0,1383.5,15838000.0,37800.0,,2260000.0,169659.0,3026701.52,17839.9,5540405.0,14547960.0,2625.8,,14994.0,125.0,281000.0
32,Argentina,2007,416325.0,1474510.0,3541.7,52000.0,58722108.0,22500.0,15500.0,688.9,,,,360000.0,96000.0,3600.0,4250000.0,28746.0,8352000.0,442656.0,15399.0,291.0,14955659.0,3223700.0,216.0,487559.0,1244000.0,2551.0,1500000.0,9899.14,7.0,3200155.0,276116.0,86.0,4451096.0,48900.0,11.0,138025.0,242960.0,1760.3,68000.0,1950000.0,28676.5,301180.0,400699.0,1330.4,16180000.0,34920.0,,2270000.0,173817.0,3069575.92,17659.9,5777560.0,16354091.0,2830.6,,14994.0,125.0,250000.0
32,Argentina,2008,570125.0,1681880.0,2950.0,50780.0,57583120.0,22500.0,15500.0,688.9,,,,490577.0,96000.0,3600.0,4250000.0,28778.0,8832000.0,468096.0,16266.0,307.0,14660284.0,3131902.0,214.0,539490.0,1400000.0,2595.0,1500000.0,9898.89,7.0,3156841.0,274355.0,87.0,4140288.0,46000.0,11.0,224250.0,472420.0,2106.7,68000.0,1900000.0,27941.2,310930.0,415229.0,1335.4,15988000.0,19080.0,,2270000.0,172336.0,3099741.85,17986.6,4266430.0,8376452.0,1963.3,,28017.36,125.0,240000.0
32,Argentina,2009,502640.0,1355801.0,2697.4,50623.0,54463872.0,23000.0,16000.0,695.7,,,,508069.0,96000.0,3600.0,4250000.0,28810.0,9720000.0,507300.0,17608.0,337.0,16053026.0,3378460.0,210.0,573327.0,1501000.0,2618.0,1500000.0,9898.97,7.0,3339759.0,288851.0,86.0,4403119.0,45000.0,10.0,211805.0,290525.0,1371.7,66479.0,1950000.0,29332.6,343049.0,400970.53,1168.8,15278000.0,19080.0,,2270000.0,172646.0,3108008.19,18002.2,3272740.0,9023139.0,2757.1,,29016.96,125.0,260000.0
32,Argentina,2010,746435.0,2964075.0,3971.0,49643.06,48949744.0,26000.0,18978.0,729.9,,,,520224.7,98000.0,3549.1,4037036.0,38000.0,10259000.0,554000.0,14579.0,270.0,11882706.0,2630163.0,221.0,615699.0,1598000.0,2595.0,1500000.0,9899.05,7.0,3234133.0,279102.0,86.0,4059942.0,74411.81,18.0,139368.0,181990.0,1305.8,67896.0,2011097.39,29620.3,370854.0,503556.66,1357.8,15024744.0,20400.0,,3179039.0,173286.0,3176792.48,18332.7,4531520.0,15875653.0,3503.4,,45269.89,116.16,242000.0
32,Argentina,2011,1121278.0,4085770.0,3643.9,53564.74,47972660.0,26000.0,16459.0,633.0,,,,536043.3,100000.0,3848.7,4280000.0,41000.0,10829000.0,590900.0,14412.0,264.0,10865019.0,2498954.0,230.0,683019.0,1779000.0,2605.0,1500000.0,9899.14,7.0,3443378.0,300663.0,87.0,3485388.0,65947.0,19.0,284570.0,660200.0,2320.0,68923.0,2058375.56,29864.9,397312.0,550793.03,1386.3,14731000.0,19080.0,,3437003.0,174642.0,3287221.99,18822.6,4496078.0,14500519.0,3225.1,,60599.66,125.0,297000.0
32,Argentina,2012,1694545.0,5158180.0,3044.0,53314.68,49865864.0,37000.0,14750.0,398.6,,,,563942.56,105000.0,3912.59,4350000.0,41300.0,10920000.0,600000.0,14528.0,264.0,11428791.0,2595815.0,227.0,734646.0,1903000.0,2590.0,1530830.0,10102.68,7.0,3818758.0,331000.0,87.0,2958331.0,58962.0,20.0,196135.0,414990.0,2115.8,70710.0,2149333.01,30396.7,466773.0,652313.0,1397.5,14697000.0,32126.0,,3818758.0,169483.0,3372455.44,19898.5,3018403.0,8023996.0,2658.4,,66467.0,128.09,280627.0
32,Argentina,2013,1203306.0,4705160.0,3910.2,50111.0,50996397.0,28000.0,19500.0,696.4,,,,546543.0,107000.0,3735.39,4375000.0,42000.0,10368630.0,565090.0,13455.0,247.0,12625313.0,2821608.0,223.0,732463.0,1921000.0,2623.0,1573909.0,10387.06,7.0,4805499.0,416442.0,87.0,2974046.0,56657.0,19.0,260240.0,495940.0,1905.7,71954.0,2211553.96,30735.7,248140.0,284263.0,1145.6,14574880.0,37753.0,,4221954.0,178233.0,3430811.5,19249.1,3451785.0,9188339.0,2661.9,,78565.0,121.93,255632.0
32,Argentina,2014,888873.0,2901492.0,3264.2,48059.0,51646544.0,25498.0,16269.58,638.1,,,,558907.0,109000.0,4014.1,4400000.0,43000.0,10642000.0,635580.0,14781.0,247.0,12100979.0,2674000.0,221.0,729244.0,1934000.0,2652.0,1269628.0,8380.77,7.0,5110083.0,442025.0,87.0,3166985.0,60338.0,19.0,226109.0,444820.0,1967.3,72922.0,2264803.89,31057.7,500057.0,707551.21,1414.9,14534000.0,42037.0,,4692103.0,181834.0,3495430.38,19223.2,4957300.0,13930078.0,2810.0,,69437.0,119.39,230309.0
32,Argentina,2015,888873.0,2901495.0,3264.2,41226.0,51429848.0,25377.0,16112.03,634.9,,,,566093.0,115000.0,4308.36,4720674.0,42500.0,12146300.0,765000.0,18000.0,286.0,12156600.0,2727000.0,224.0,729929.0,2093000.0,2867.0,1288380.0,8505.87,7.0,5502037.0,483437.0,88.0,3155631.0,57609.0,18.0,244528.0,524716.0,2145.8,74338.0,2329939.06,31342.5,649523.0,967539.25,1489.6,14859486.0,26828.0,,5011446.0,177840.0,3476231.51,19547.0,3953102.0,11314952.0,2862.3,,84404.45,126.14,245443.0
32,Argentina,2016,1246891.0,4938723.0,3960.8,34234.0,52636778.0,26002.0,16736.97,643.7,,,,533171.0,111100.0,3636.17,4712173.0,43100.0,12730400.0,802000.0,18608.0,295.0,11720350.0,2644000.0,226.0,704023.0,2055000.0,2919.0,1112880.0,7347.0,7.0,5986561.0,522428.0,87.0,2507115.0,51590.0,21.0,239640.0,553435.0,2309.4,75500.0,2430866.0,32196.9,499100.0,605395.22,1213.0,14864321.0,34048.0,,5119438.0,175149.0,3443988.96,19663.2,5566385.0,18395106.0,3304.7,,80442.01,105.91,157130.0
32,Argentina,2017,870213.0,3741158.0,4299.1,26807.0,54793181.0,25728.0,16549.56,643.3,,,,408128.0,118300.0,3003.57,4863894.0,44000.0,12987100.0,813000.0,18477.0,295.0,12616936.0,2844511.0,225.0,722119.0,2116000.0,2930.0,1095690.0,7232.6,7.0,6425216.0,566276.0,88.0,2492146.0,50616.0,20.0,321054.0,784981.0,2445.0,74845.0,2459310.23,32858.6,600652.0,754442.75,1256.0,14746566.0,45650.0,,5119438.0,176428.0,3513409.9,19914.1,5822173.0,18518045.0,3180.6,,62542.18,88.24,149084.0
